hour,day,month,dayofweek,gen_lag_1,gen_lag_24
0,2,1,5,0.0,1.0
1,2,1,5,0.0,0.0
2,2,1,5,0.0,0.0
3,2,1,5,0.0,0.0
4,2,1,5,0.0,0.0
5,2,1,5,0.0,0.0
6,2,1,5,0.0,49.0
7,2,1,5,26.0,576.0
8,2,1,5,390.0,1926.0
9,2,1,5,1059.0,3271.0
10,2,1,5,1346.0,4082.0
11,2,1,5,1468.0,4245.0
12,2,1,5,1467.0,3643.0
13,2,1,5,1318.0,2344.0
14,2,1,5,666.0,1093.0
15,2,1,5,319.0,101.0
16,2,1,5,64.0,0.0
17,2,1,5,29.0,0.0
18,2,1,5,29.0,0.0
19,2,1,5,29.0,0.0
20,2,1,5,29.0,1.0
21,2,1,5,29.0,1.0
22,2,1,5,29.0,1.0
23,2,1,5,29.0,0.0
0,3,1,6,0.0,0.0
1,3,1,6,0.0,0.0
2,3,1,6,0.0,0.0
3,3,1,6,0.0,0.0
4,3,1,6,0.0,0.0
5,3,1,6,0.0,0.0
6,3,1,6,0.0,26.0
7,3,1,6,3.0,390.0
8,3,1,6,378.0,1059.0
9,3,1,6,1348.0,1346.0
10,3,1,6,2339.0,1468.0
11,3,1,6,3729.0,1467.0
12,3,1,6,3994.0,1318.0
13,3,1,6,2841.0,666.0
14,3,1,6,1809.0,319.0
15,3,1,6,975.0,64.0
16,3,1,6,126.0,29.0
17,3,1,6,29.0,29.0
18,3,1,6,29.0,29.0
19,3,1,6,29.0,29.0
20,3,1,6,29.0,29.0
21,3,1,6,29.0,29.0
22,3,1,6,29.0,29.0
23,3,1,6,29.0,0.0
0,4,1,0,1.0,0.0
1,4,1,0,1.0,0.0
2,4,1,0,1.0,0.0
3,4,1,0,1.0,0.0
4,4,1,0,0.0,0.0
5,4,1,0,0.0,0.0
6,4,1,0,0.0,3.0
7,4,1,0,0.0,378.0
8,4,1,0,81.0,1348.0
9,4,1,0,466.0,2339.0
10,4,1,0,725.0,3729.0
11,4,1,0,1111.0,3994.0
12,4,1,0,1366.0,2841.0
13,4,1,0,1514.0,1809.0
14,4,1,0,1316.0,975.0
15,4,1,0,709.0,126.0
16,4,1,0,118.0,29.0
17,4,1,0,29.0,29.0
18,4,1,0,29.0,29.0
19,4,1,0,29.0,29.0
20,4,1,0,29.0,29.0
21,4,1,0,29.0,29.0
22,4,1,0,29.0,29.0
23,4,1,0,29.0,1.0
0,5,1,1,0.0,1.0
1,5,1,1,0.0,1.0
2,5,1,1,0.0,1.0
3,5,1,1,0.0,0.0
4,5,1,1,0.0,0.0
5,5,1,1,0.0,0.0
6,5,1,1,0.0,0.0
7,5,1,1,4.0,81.0
8,5,1,1,187.0,466.0
9,5,1,1,857.0,725.0
10,5,1,1,1276.0,1111.0
11,5,1,1,1507.0,1366.0
12,5,1,1,1590.0,1514.0
13,5,1,1,1428.0,1316.0
14,5,1,1,1089.0,709.0
15,5,1,1,575.0,118.0
16,5,1,1,103.0,29.0
17,5,1,1,29.0,29.0
18,5,1,1,29.0,29.0
19,5,1,1,29.0,29.0
20,5,1,1,29.0,29.0
21,5,1,1,29.0,29.0
22,5,1,1,29.0,29.0
23,5,1,1,29.0,0.0
0,6,1,2,1.0,0.0
1,6,1,2,1.0,0.0
2,6,1,2,1.0,0.0
3,6,1,2,1.0,0.0
4,6,1,2,0.0,0.0
5,6,1,2,0.0,0.0
6,6,1,2,0.0,4.0
7,6,1,2,4.0,187.0
8,6,1,2,170.0,857.0
9,6,1,2,645.0,1276.0
10,6,1,2,1331.0,1507.0
11,6,1,2,2171.0,1590.0
12,6,1,2,2631.0,1428.0
13,6,1,2,3237.0,1089.0
14,6,1,2,2584.0,575.0
15,6,1,2,1357.0,103.0
16,6,1,2,184.0,29.0
17,6,1,2,30.0,29.0
18,6,1,2,29.0,29.0
19,6,1,2,29.0,29.0
20,6,1,2,29.0,29.0
21,6,1,2,29.0,29.0
22,6,1,2,29.0,29.0
23,6,1,2,29.0,1.0
0,7,1,3,0.0,1.0
1,7,1,3,0.0,1.0
2,7,1,3,0.0,1.0
3,7,1,3,0.0,0.0
4,7,1,3,0.0,0.0
5,7,1,3,0.0,0.0
6,7,1,3,0.0,4.0
7,7,1,3,23.0,170.0
8,7,1,3,1016.0,645.0
9,7,1,3,2749.0,1331.0
10,7,1,3,4395.0,2171.0
11,7,1,3,4991.0,2631.0
12,7,1,3,4731.0,3237.0
13,7,1,3,3984.0,2584.0
14,7,1,3,2499.0,1357.0
15,7,1,3,1014.0,184.0
16,7,1,3,133.0,30.0
17,7,1,3,29.0,29.0
18,7,1,3,29.0,29.0
19,7,1,3,29.0,29.0
20,7,1,3,29.0,29.0
21,7,1,3,29.0,29.0
22,7,1,3,29.0,29.0
23,7,1,3,29.0,0.0
0,8,1,4,1.0,0.0
1,8,1,4,1.0,0.0
2,8,1,4,1.0,0.0
3,8,1,4,1.0,0.0
4,8,1,4,0.0,0.0
5,8,1,4,0.0,0.0
6,8,1,4,0.0,23.0
7,8,1,4,25.0,1016.0
8,8,1,4,451.0,2749.0
