hour,day,month,dayofweek,load_lag_1,load_lag_24
0,2,1,5,21420.0,21665.0
1,2,1,5,19651.0,20260.0
2,2,1,5,18679.0,19056.0
3,2,1,5,18264.0,18407.0
4,2,1,5,18346.0,18425.0
5,2,1,5,19236.0,19261.0
6,2,1,5,21300.0,19673.0
7,2,1,5,23333.0,19927.0
8,2,1,5,25221.0,21403.0
9,2,1,5,27697.0,22819.0
10,2,1,5,28637.0,23995.0
11,2,1,5,29080.0,24516.0
12,2,1,5,29077.0,23206.0
13,2,1,5,28364.0,22244.0
14,2,1,5,27879.0,22551.0
15,2,1,5,28269.0,23949.0
16,2,1,5,29808.0,27964.0
17,2,1,5,33054.0,28978.0
18,2,1,5,33860.0,29504.0
19,2,1,5,33850.0,29082.0
20,2,1,5,31760.0,27681.0
21,2,1,5,29295.0,25626.0
22,2,1,5,26658.0,23131.0
23,2,1,5,24332.0,21420.0
0,3,1,6,21855.0,19651.0
1,3,1,6,20156.0,18679.0
2,3,1,6,19200.0,18264.0
3,3,1,6,18603.0,18346.0
4,3,1,6,18456.0,19236.0
5,3,1,6,18917.0,21300.0
6,3,1,6,20148.0,23333.0
7,3,1,6,21373.0,25221.0
8,3,1,6,22696.0,27697.0
9,3,1,6,25152.0,28637.0
10,3,1,6,27044.0,29080.0
11,3,1,6,28325.0,29077.0
12,3,1,6,27882.0,28364.0
13,3,1,6,25392.0,27879.0
14,3,1,6,23928.0,28269.0
15,3,1,6,24631.0,29808.0
16,3,1,6,25801.0,33054.0
17,3,1,6,29654.0,33860.0
18,3,1,6,31004.0,33850.0
19,3,1,6,31209.0,31760.0
20,3,1,6,30520.0,29295.0
21,3,1,6,28560.0,26658.0
22,3,1,6,26171.0,24332.0
23,3,1,6,23920.0,21855.0
0,4,1,0,21545.0,20156.0
1,4,1,0,19872.0,19200.0
2,4,1,0,19023.0,18603.0
3,4,1,0,18745.0,18456.0
4,4,1,0,19110.0,18917.0
5,4,1,0,20513.0,20148.0
6,4,1,0,24208.0,21373.0
7,4,1,0,28600.0,22696.0
8,4,1,0,32670.0,25152.0
